Record_ID,Mission_Name,Mission_Type,Lead_Country,Lead_ISO_Code,Lead_Country_Region,Operation_Location,Operation_Region,Threat_Level,Command_HQ,Operation_Start_Year,Operation_End_Year,Duration_Years,Mission_Phase,Troops_Deployed,Air_Assets_Deployed,Naval_Assets_Deployed,Casualties,Casualties_Rate_Pct,Mission_Cost_M_USD,Cost_Per_Soldier_USD,Contributing_Countries_Count,NATO_Led,UN_Mandate,Mission_Outcome,Mission_Status,Classification,Media_Coverage,Public_Support_Pct,After_Action_Report
1954,Operation Aurora Borealis 01954,Special Operations,Montenegro,MNE,Southern Europe,North Atlantic,Atlantic,Low,LANDCOM,1986,1999,13,Execution,16939,172,38,481,2.84,3160.58,186585.99,8,No,No,Completed,Suspended,NATO Secret,Low,62.9,Pending
1955,Operation Resolute Support 01955,Amphibious Exercise,Germany,DEU,Western Europe,Arctic Region,Arctic,Medium,JFC Naples,1949,1964,15,Completed,22638,106,12,776,3.428,3718.25,164248.17,22,Yes,Yes,Withdrawn,Active,NATO Restricted,High,33.6,Published
1956,Operation Ramstein Guard 01956,Humanitarian Aid,Belgium,BEL,Western Europe,Mali,Africa,Medium,SHAPE Belgium,2009,2022,13,Deployment,19271,79,48,394,2.045,4073.55,211382.39,15,No,No,Successful,Planned,NATO Secret,Minimal,31.6,Pending
1957,Operation Ocean Shield 01957,Amphibious Exercise,Latvia,LVA,Northern Europe,Bosnia,Europe,Low,STRIKFORNATO,1957,1962,5,Deployment,14247,96,49,37,0.26,5406.95,379514.99,26,No,Yes,Suspended,Completed,NATO Secret,High,75.5,N/A
1958,Operation Swift Response 01958,Amphibious Exercise,Czech Republic,CZE,Central Europe,Aegean Sea,Europe,Low,STRIKFORNATO,2000,2011,11,Completed,27469,64,27,714,2.599,3324.61,121031.34,27,Joint UN-NATO,Yes,Suspended,Concluded,Unclassified,High,86.8,N/A
1959,Operation Hammer Force 01959,Training Exercise,United Kingdom,GBR,Western Europe,Lebanon,Middle East,Medium,ACO Mons,2007,2009,2,Drawdown,63398,184,9,1608,2.536,2310.85,36449.89,21,Yes,Yes,Completed,Suspended,Unclassified,Low,76.1,Classified
1960,Operation Viking 01960,Disaster Relief,Netherlands,NLD,Western Europe,Indian Ocean,Asia,Low,JFC Brunssum,1986,1994,8,Transition,24098,101,15,294,1.22,133.04,5520.79,24,Yes,Yes,Transitioned to UN,Transitioned,NATO Restricted,Minimal,59.5,Classified
1961,Operation Iron Spear 01961,Peacekeeping,Slovenia,SVN,Southern Europe,Indian Ocean,Asia,Low,SHAPE Belgium,1995,1997,2,Drawdown,21368,108,3,69,0.323,8784.18,411090.42,9,Yes,Yes,Partially Successful,Planned,NATO Secret,Low,65.8,Classified
1962,Operation Mountain Shield 01962,Intelligence Gathering,Estonia,EST,Northern Europe,North Atlantic,Atlantic,Low,JFC Brunssum,1997,2015,18,Drawdown,72337,182,18,965,1.334,7821.32,108123.37,18,Yes,No,Successful,Suspended,Unclassified,High,60.4,Pending
1963,Operation Rapid Falcon 01963,Special Operations,United Kingdom,GBR,Western Europe,Syria,Middle East,High,STRIKFORNATO,2003,2007,4,Drawdown,3060,132,15,70,2.288,10726.74,3505470.59,18,Joint UN-NATO,Yes,Successful,Concluded,NATO Confidential,Low,38.1,N/A
1964,Operation Viking 01964,Maritime Security,Hungary,HUN,Central Europe,Lebanon,Middle East,Medium,JFC Brunssum,1989,1994,5,Drawdown,42763,147,35,373,0.872,5051.04,118117.06,12,Joint UN-NATO,Yes,Successful,Suspended,NATO Secret,Medium,44.5,N/A
1965,Operation Dawn Patrol 01965,Search and Rescue,Hungary,HUN,Central Europe,Kosovo,Europe,Medium,ACO Mons,1998,2000,2,Execution,22111,190,24,419,1.895,3800.88,171899.96,30,Joint UN-NATO,Yes,Mission Accomplished,Active,NATO Restricted,Medium,78.2,Classified
1966,Operation Polar Bear 01966,Combat,Albania,ALB,Southern Europe,Afghanistan,Asia,High,JFC Brunssum,1981,1997,16,Drawdown,55086,65,20,1637,2.972,11549.18,209657.26,22,Joint UN-NATO,Yes,Inconclusive,On Hold,NATO Secret,Medium,23.0,Published
1967,Operation Loyal Leda 01967,Disaster Relief,Iceland,ISL,Northern Europe,Bosnia,Europe,Low,AIRCOM,1977,1990,13,Planning,24876,69,40,811,3.26,1387.02,55757.36,12,No,Yes,Ongoing,Planned,NATO Confidential,Low,81.3,Published
1968,Operation Brilliant Jump 01968,Special Operations,North Macedonia,MKD,Southern Europe,Aegean Sea,Europe,Low,SHAPE Belgium,2011,2024,13,Execution,56345,195,48,333,0.591,5239.74,92993.88,25,Yes,Yes,Successful,Completed,Unclassified,Minimal,82.0,Published
1969,Operation Resolute Support 01969,Search and Rescue,Iceland,ISL,Northern Europe,Bosnia,Europe,Low,ACO Mons,1996,2013,17,Planning,55857,139,28,835,1.495,4748.81,85017.28,25,Joint UN-NATO,No,Inconclusive,On Hold,Unclassified,Low,40.1,Pending
1970,Operation Steadfast Jazz 01970,Naval Patrol,Romania,ROU,Eastern Europe,Ukraine Border,Europe,High,AIRCOM,1984,1996,12,Completed,61305,38,44,235,0.383,7937.49,129475.41,29,Joint UN-NATO,Yes,Withdrawn,Transitioned,Unclassified,Low,23.1,Pending
1971,Operation Arctic Patrol 01971,Counter-Terrorism,Italy,ITA,Southern Europe,Aegean Sea,Europe,Low,ACO Mons,1975,1985,10,Execution,48118,92,24,96,0.2,8564.59,177991.4,24,Yes,No,Mission Accomplished,On Hold,NATO Secret,Medium,35.3,Classified
1972,Operation Trident Juncture 01972,Ballistic Missile Defense,France,FRA,Western Europe,North Sea,Europe,Low,AIRCOM,1997,1999,2,Drawdown,60906,120,38,502,0.824,2767.16,45433.29,28,Joint UN-NATO,No,Completed,Suspended,NATO Secret,Low,84.3,Published
1973,Operation Saber Strike 01973,Logistics Support,North Macedonia,MKD,Southern Europe,Horn of Africa,Africa,Medium,LANDCOM,1988,1996,8,Completed,35671,117,50,1252,3.51,4640.59,130094.19,16,Yes,No,Partially Successful,Planned,NATO Confidential,Medium,91.8,N/A
1974,Operation Noble Jump 01974,Air Policing,Canada,CAN,North America,Kosovo,Europe,Medium,JFC Naples,2003,2008,5,Completed,62687,117,5,1802,2.875,1710.73,27290.03,22,Yes,No,Transitioned to UN,Transitioned,NATO Confidential,Minimal,70.4,Published
1975,Operation Cold Response 01975,Naval Patrol,Italy,ITA,Southern Europe,Aegean Sea,Europe,Low,STRIKFORNATO,2002,2013,11,Planning,7257,62,7,240,3.307,8901.35,1226588.12,30,No,No,Successful,Completed,NATO Secret,Medium,68.3,N/A
1976,Operation Trident Juncture 01976,Combat,Denmark,DNK,Northern Europe,Bosnia,Europe,Low,JFC Brunssum,1970,1978,8,Planning,2997,109,7,74,2.469,149.85,50000.0,18,Joint UN-NATO,No,Inconclusive,Active,Unclassified,Minimal,74.4,Pending
1977,Operation Vigilant Skies 01977,Air Policing,Portugal,PRT,Western Europe,Black Sea,Europe,Medium,STRIKFORNATO,1974,1987,13,Planning,69256,165,8,1497,2.162,8434.15,121782.23,3,Joint UN-NATO,No,Suspended,Concluded,NATO Restricted,Medium,51.1,Published
1978,Operation Noble Jump 01978,Peacekeeping,Romania,ROU,Eastern Europe,Sahel Region,Africa,High,JFC Naples,2011,2022,11,Transition,7905,153,47,316,3.997,8965.65,1134174.57,32,Joint UN-NATO,No,Suspended,On Hold,NATO Confidential,Low,67.1,Published
1979,Operation Aurora Borealis 01979,CBRN Response,Spain,ESP,Western Europe,Ukraine Border,Europe,High,MARCOM,1977,1996,19,Deployment,5765,35,37,91,1.578,8279.37,1436143.97,13,No,Yes,Suspended,Transitioned,Unclassified,Low,34.5,Pending
1980,Operation Unified Protector 01980,Peacekeeping,Poland,POL,Central Europe,Horn of Africa,Africa,Medium,AIRCOM,2005,2021,16,Completed,51662,57,1,1594,3.085,875.95,16955.4,2,Yes,Yes,Suspended,Concluded,NATO Secret,Minimal,33.9,Pending
1981,Operation Trident Juncture 01981,Counter-Terrorism,United States,USA,North America,Mediterranean Sea,Europe,Low,SHAPE Belgium,2017,2024,7,Completed,25941,37,39,127,0.49,4606.84,177589.14,23,No,No,Withdrawn,Planned,NATO Restricted,High,31.3,Pending
1982,Operation Resolute Support 01982,Search and Rescue,Luxembourg,LUX,Western Europe,Bosnia,Europe,Low,JFC Brunssum,1976,1994,18,Drawdown,4978,24,45,3,0.06,2203.81,442709.92,11,Joint UN-NATO,Yes,Completed,Suspended,NATO Confidential,Medium,43.2,Pending
1983,Operation Ocean Shield 01983,Disaster Relief,Bulgaria,BGR,Eastern Europe,North Sea,Europe,Low,STRIKFORNATO,1958,1965,7,Drawdown,16520,55,37,399,2.415,3273.24,198138.01,17,Yes,No,Withdrawn,Transitioned,NATO Secret,Low,35.2,Published
1984,Operation Steadfast Jazz 01984,Search and Rescue,Portugal,PRT,Western Europe,Barents Sea,Arctic,Medium,SHAPE Belgium,1996,2002,6,Planning,58962,88,19,815,1.382,4588.09,77814.36,7,Joint UN-NATO,Yes,Completed,Planned,Unclassified,Minimal,69.3,N/A
1985,Operation Baltic Fortress 01985,Logistics Support,Türkiye,TUR,Southern Europe,Libya,Africa,High,JFC Naples,2005,2023,18,Transition,50014,116,32,1990,3.979,2952.27,59028.87,2,Yes,No,Suspended,Transitioned,NATO Secret,Medium,35.7,Published
1986,Operation Adriatic Strike 01986,Air Policing,Sweden,SWE,Northern Europe,Arctic Region,Arctic,Medium,STRIKFORNATO,1974,1981,7,Planning,45398,93,9,1502,3.309,981.73,21624.96,12,No,No,Mission Accomplished,Transitioned,NATO Restricted,Low,59.0,Pending
1987,Operation Anaconda 01987,Peacekeeping,France,FRA,Western Europe,Western Balkans,Europe,Low,ACO Mons,1969,1983,14,Completed,49771,33,47,747,1.501,11409.6,229241.93,18,Joint UN-NATO,Yes,Withdrawn,Suspended,NATO Restricted,Medium,59.8,Pending
1988,Operation Thunder Wolf 01988,Amphibious Exercise,Estonia,EST,Northern Europe,Adriatic Sea,Europe,Low,MARCOM,2015,2017,2,Completed,43284,186,50,387,0.894,8977.86,207417.52,17,Yes,Yes,Ongoing,Active,NATO Confidential,Medium,76.9,N/A
1989,Operation Steadfast Defender 01989,Naval Patrol,Albania,ALB,Southern Europe,Kosovo,Europe,Medium,SHAPE Belgium,1995,2009,14,Execution,14902,199,48,299,2.006,1066.04,71536.71,30,Joint UN-NATO,No,Inconclusive,Transitioned,NATO Secret,Low,51.5,Pending
1990,Operation Neptune Strike 01990,Ballistic Missile Defense,United States,USA,North America,Mediterranean Sea,Europe,Low,JFC Naples,1972,1989,17,Transition,52002,32,47,914,1.758,13.33,256.34,5,No,No,Completed,Planned,NATO Secret,High,89.9,Classified
1991,Operation Blue Flag 01991,Special Operations,United Kingdom,GBR,Western Europe,Baltic Sea,Europe,Low,SHAPE Belgium,2005,2011,6,Transition,62987,26,18,825,1.31,139.51,2214.9,22,No,Yes,Mission Accomplished,Completed,NATO Confidential,High,52.8,N/A
1992,Operation Thunder Wolf 01992,Training Exercise,Slovakia,SVK,Central Europe,Red Sea,Middle East,Medium,MARCOM,1958,1959,1,Deployment,16767,148,35,496,2.958,7656.27,456627.3,16,Yes,No,Partially Successful,Transitioned,NATO Restricted,High,75.9,N/A
1993,Operation Red Arrow 01993,Counter-Terrorism,Latvia,LVA,Northern Europe,Caucasus Region,Asia,High,LANDCOM,2001,2016,15,Transition,54776,2,42,457,0.834,10339.76,188764.42,25,No,No,Successful,Transitioned,NATO Restricted,Medium,27.5,Published
1994,Operation Red Arrow 01994,Training Exercise,Montenegro,MNE,Southern Europe,Red Sea,Middle East,Medium,ACO Mons,1978,1998,20,Transition,61697,72,1,208,0.337,1126.69,18261.67,24,No,Yes,Ongoing,Active,NATO Confidential,Medium,67.8,Published
1995,Operation Freedom Sentinel 01995,Logistics Support,Bulgaria,BGR,Eastern Europe,Baltic Sea,Europe,Low,LANDCOM,1951,1966,15,Transition,16977,89,44,582,3.428,1686.0,99310.83,15,Joint UN-NATO,Yes,Withdrawn,Concluded,NATO Confidential,Minimal,72.3,Classified
1996,Operation Trident Juncture 01996,Naval Patrol,Canada,CAN,North America,Lebanon,Middle East,Medium,SHAPE Belgium,1981,1987,6,Planning,14335,70,47,493,3.439,1833.19,127882.11,25,No,No,Partially Successful,Active,NATO Secret,High,86.1,Published
1997,Operation Thunder Wolf 01997,Maritime Security,Finland,FIN,Northern Europe,Mali,Africa,Medium,ACO Mons,2004,2007,3,Transition,57464,59,20,2040,3.55,9393.6,163469.3,23,Joint UN-NATO,Yes,Transitioned to UN,On Hold,NATO Confidential,Low,66.4,N/A
1998,Operation Polar Bear 01998,Special Operations,France,FRA,Western Europe,Somalia,Africa,Medium,ACO Mons,1987,1988,1,Drawdown,42495,188,28,1144,2.692,7948.67,187049.54,3,No,No,Partially Successful,Completed,NATO Secret,Low,23.7,N/A
1999,Operation Resolute Support 01999,Intelligence Gathering,Croatia,HRV,Southern Europe,Adriatic Sea,Europe,Low,LANDCOM,1964,1976,12,Deployment,47089,90,36,405,0.86,7467.3,158578.44,5,No,No,Completed,On Hold,NATO Confidential,High,66.5,Published
2000,Operation Viking 02000,Humanitarian Aid,Germany,DEU,Western Europe,Barents Sea,Arctic,Medium,AIRCOM,2023,2024,1,Planning,418,132,26,11,2.632,10226.33,24464904.31,28,Yes,Yes,Transitioned to UN,Suspended,Unclassified,Low,65.5,Classified
2001,Operation Loyal Leda 02001,Ballistic Missile Defense,Poland,POL,Central Europe,Kosovo,Europe,Medium,JFC Brunssum,1949,1959,10,Planning,40346,81,7,341,0.845,1047.1,25953.01,18,Yes,No,Ongoing,Concluded,NATO Confidential,Medium,34.9,Pending
2002,Operation Aegis Guard 02002,Logistics Support,Spain,ESP,Western Europe,Black Sea,Europe,Medium,MARCOM,2021,2024,3,Execution,23424,72,9,2,0.009,11972.47,511119.79,13,Yes,Yes,Withdrawn,Planned,NATO Restricted,Medium,76.0,Pending
2003,Operation Iron Resolve 02003,Disaster Relief,Slovakia,SVK,Central Europe,Red Sea,Middle East,Medium,MARCOM,2013,2024,11,Drawdown,5297,116,9,193,3.644,10390.52,1961585.8,25,Yes,Yes,Mission Accomplished,Active,NATO Confidential,High,66.6,Published
2004,Operation Red Arrow 02004,Peacekeeping,Norway,NOR,Northern Europe,Red Sea,Middle East,Medium,ACO Mons,1959,1960,1,Planning,48607,20,36,239,0.492,8344.79,171678.77,25,Joint UN-NATO,No,Suspended,Completed,NATO Confidential,High,26.7,Pending
2005,Operation Pacific Watch 02005,Counter-Terrorism,France,FRA,Western Europe,Somalia,Africa,Medium,SHAPE Belgium,1989,2006,17,Drawdown,47046,2,10,954,2.028,8480.68,180263.57,28,Joint UN-NATO,Yes,Suspended,Concluded,Unclassified,Low,86.9,Classified
2006,Operation Pacific Watch 02006,Reconnaissance,Romania,ROU,Eastern Europe,Barents Sea,Arctic,Medium,AIRCOM,1967,1978,11,Drawdown,42763,192,15,1314,3.073,6215.56,145349.02,24,No,Yes,Inconclusive,Transitioned,Unclassified,High,64.4,N/A
2007,Operation Trident Juncture 02007,Intelligence Gathering,Portugal,PRT,Western Europe,Syria,Middle East,High,MARCOM,1990,1995,5,Execution,12407,34,6,466,3.756,1650.66,133042.64,29,No,Yes,Partially Successful,Planned,NATO Confidential,Low,67.9,Pending
2008,Operation Freedom Sentinel 02008,Naval Patrol,Lithuania,LTU,Northern Europe,North Sea,Europe,Low,STRIKFORNATO,2011,2024,13,Deployment,42681,159,7,1704,3.992,5245.05,122889.58,14,Joint UN-NATO,Yes,Ongoing,Concluded,Unclassified,High,47.7,N/A
2009,Operation Vigilant Skies 02009,Amphibious Exercise,Norway,NOR,Northern Europe,Arctic Region,Arctic,Medium,ACO Mons,2015,2023,8,Execution,12673,26,10,40,0.316,675.53,53304.66,28,Joint UN-NATO,Yes,Ongoing,Active,NATO Secret,Low,65.9,Published
2010,Operation Ocean Shield 02010,Humanitarian Aid,Spain,ESP,Western Europe,Eastern Europe,Europe,Medium,SHAPE Belgium,1990,2010,20,Transition,68632,194,27,2598,3.785,1033.53,15059.01,25,Joint UN-NATO,Yes,Mission Accomplished,Transitioned,NATO Confidential,Minimal,49.6,Published
2011,Operation Saber Strike 02011,Combat,Belgium,BEL,Western Europe,Baltic Sea,Europe,Low,MARCOM,1979,1991,12,Planning,50246,21,12,298,0.593,11716.02,233173.19,7,No,No,Mission Accomplished,Active,Unclassified,Low,58.4,N/A
2012,Operation Allied Shield 02012,Training Exercise,Germany,DEU,Western Europe,Persian Gulf,Middle East,Medium,MARCOM,1960,1968,8,Planning,29231,170,5,102,0.349,8981.81,307270.02,16,Joint UN-NATO,No,Completed,Active,NATO Secret,Medium,46.5,Classified
2013,Operation Saber Strike 02013,Search and Rescue,Iceland,ISL,Northern Europe,Mali,Africa,Medium,ACO Mons,2022,2024,2,Transition,59147,39,44,1426,2.411,3468.28,58638.31,19,No,No,Completed,Completed,NATO Restricted,Low,52.2,Classified
2014,Operation Steadfast Defender 02014,Combat,Hungary,HUN,Central Europe,Arctic Region,Arctic,Medium,AIRCOM,1980,1999,19,Drawdown,1133,155,9,42,3.707,2051.03,1810264.78,12,No,Yes,Completed,On Hold,NATO Secret,Medium,88.5,Published
2015,Operation Southern Watch 02015,Humanitarian Aid,Hungary,HUN,Central Europe,Mali,Africa,Medium,JFC Naples,2019,2024,5,Planning,9279,38,0,242,2.608,5868.07,632403.28,23,Joint UN-NATO,Yes,Ongoing,Transitioned,NATO Restricted,High,25.9,Published
2016,Operation Noble Jump 02016,Amphibious Exercise,United Kingdom,GBR,Western Europe,North Atlantic,Atlantic,Low,STRIKFORNATO,1968,1988,20,Drawdown,48853,108,41,891,1.824,8415.36,172258.82,11,Joint UN-NATO,Yes,Completed,Planned,Unclassified,Minimal,77.4,Classified
2017,Operation Baltic Fortress 02017,Naval Patrol,Albania,ALB,Southern Europe,Iraq,Middle East,High,AIRCOM,1972,1989,17,Completed,31717,0,50,564,1.778,6868.88,216567.77,22,Joint UN-NATO,Yes,Transitioned to UN,Planned,NATO Confidential,Medium,28.3,Classified
2018,Operation Northern Guard 02018,Special Operations,Croatia,HRV,Southern Europe,North Sea,Europe,Low,JFC Naples,1971,1982,11,Completed,66544,164,40,1941,2.917,6327.67,95090.02,5,Yes,Yes,Suspended,Active,NATO Secret,High,83.9,Published
2019,Operation Unified Protector 02019,Counter-Terrorism,Bulgaria,BGR,Eastern Europe,Ukraine Border,Europe,High,STRIKFORNATO,2002,2006,4,Planning,37745,140,27,1499,3.971,2079.5,55093.39,12,No,No,Inconclusive,Active,NATO Restricted,High,34.4,Pending
2020,Operation Cold Response 02020,Search and Rescue,Hungary,HUN,Central Europe,Horn of Africa,Africa,Medium,ACO Mons,1978,1985,7,Execution,2869,119,23,56,1.952,5347.05,1863733.01,8,No,No,Mission Accomplished,Suspended,NATO Secret,Low,20.8,Classified
2021,Operation Allied Shield 02021,Reconnaissance,Poland,POL,Central Europe,Lebanon,Middle East,Medium,MARCOM,1988,1991,3,Completed,16837,133,13,117,0.695,1881.85,111768.72,6,Joint UN-NATO,No,Transitioned to UN,Completed,Unclassified,Minimal,20.9,Published
2022,Operation Steadfast Defender 02022,Combat,Italy,ITA,Southern Europe,Black Sea,Europe,Medium,JFC Naples,1998,2014,16,Planning,56024,172,28,458,0.818,1636.59,29212.3,13,Yes,Yes,Completed,Completed,NATO Secret,Minimal,71.2,Pending
2023,Operation Active Endeavour 02023,Peacekeeping,Greece,GRC,Southern Europe,Ukraine Border,Europe,High,MARCOM,1953,1969,16,Planning,1090,99,28,36,3.303,11423.11,10479917.43,18,No,Yes,Partially Successful,Concluded,NATO Confidential,Low,42.8,N/A
2024,Operation Ocean Shield 02024,Amphibious Exercise,Netherlands,NLD,Western Europe,Syria,Middle East,High,LANDCOM,1984,2002,18,Deployment,16006,112,5,385,2.405,11593.05,724294.01,23,Joint UN-NATO,Yes,Suspended,Concluded,NATO Secret,Medium,62.4,N/A
2025,Operation Steadfast Jazz 02025,Amphibious Exercise,Portugal,PRT,Western Europe,Adriatic Sea,Europe,Low,STRIKFORNATO,1983,2003,20,Transition,26166,109,47,119,0.455,3516.33,134385.46,23,No,Yes,Successful,Active,NATO Secret,High,39.4,Classified
2026,Operation Baltic Eagle 02026,Special Operations,Luxembourg,LUX,Western Europe,Lebanon,Middle East,Medium,SHAPE Belgium,1962,1966,4,Planning,61811,156,17,1950,3.155,7813.0,126401.45,11,Yes,No,Partially Successful,Concluded,Unclassified,Minimal,42.8,Published
2027,Operation Arctic Patrol 02027,Peacekeeping,Canada,CAN,North America,Lebanon,Middle East,Medium,MARCOM,1951,1954,3,Completed,18927,9,9,551,2.911,2573.5,135969.78,16,No,Yes,Successful,Active,NATO Restricted,Low,49.1,Published
2028,Operation Adriatic Strike 02028,Air Policing,Poland,POL,Central Europe,Persian Gulf,Middle East,Medium,MARCOM,1955,1957,2,Transition,43827,17,24,562,1.282,823.3,18785.22,32,Joint UN-NATO,No,Partially Successful,Active,Unclassified,Low,23.9,Classified
2029,Operation Trident Juncture 02029,Maritime Security,United Kingdom,GBR,Western Europe,Somalia,Africa,Medium,AIRCOM,1959,1967,8,Completed,19917,79,24,23,0.115,7191.61,361078.98,26,Yes,Yes,Transitioned to UN,On Hold,NATO Restricted,High,81.2,Pending
2030,Operation Vigilant Skies 02030,CBRN Response,United Kingdom,GBR,Western Europe,Iraq,Middle East,High,STRIKFORNATO,1958,1972,14,Execution,17062,33,5,427,2.503,5989.26,351029.19,19,Joint UN-NATO,No,Mission Accomplished,Planned,NATO Confidential,Minimal,82.7,Published
2031,Operation Cold Response 02031,Special Operations,Poland,POL,Central Europe,Iraq,Middle East,High,STRIKFORNATO,2015,2024,9,Drawdown,14211,188,15,565,3.976,7517.1,528963.48,4,Yes,No,Transitioned to UN,Planned,Unclassified,Medium,81.8,N/A
2032,Operation Arctic Fox 02032,Logistics Support,Poland,POL,Central Europe,Mediterranean Sea,Europe,Low,JFC Naples,2010,2017,7,Planning,57943,103,22,2276,3.928,5110.48,88198.4,7,No,No,Completed,Transitioned,Unclassified,High,55.0,Classified
2033,Operation Ramstein Guard 02033,Maritime Security,Italy,ITA,Southern Europe,Persian Gulf,Middle East,Medium,AIRCOM,1984,1985,1,Deployment,23970,98,10,675,2.816,7516.49,313579.06,18,Joint UN-NATO,Yes,Inconclusive,On Hold,NATO Secret,Medium,52.9,Classified
2034,Operation Sea Guardian 02034,Peacekeeping,Türkiye,TUR,Southern Europe,Red Sea,Middle East,Medium,ACO Mons,1979,1995,16,Execution,59140,75,19,1220,2.063,2077.02,35120.39,22,No,No,Inconclusive,Completed,NATO Secret,Low,24.1,Classified
2035,Operation Silver Lance 02035,Air Policing,Norway,NOR,Northern Europe,Kosovo,Europe,Medium,ACO Mons,2008,2024,16,Deployment,51151,114,49,633,1.238,2789.6,54536.57,19,No,No,Ongoing,Active,NATO Confidential,Minimal,40.1,Classified
2036,Operation Glacier Watch 02036,Amphibious Exercise,Germany,DEU,Western Europe,Caucasus Region,Asia,High,SHAPE Belgium,1970,1978,8,Completed,13134,70,0,192,1.462,10735.39,817373.99,29,No,Yes,Ongoing,Planned,NATO Confidential,Minimal,89.4,Classified
2037,Operation Thunder Wolf 02037,Peacekeeping,Poland,POL,Central Europe,North Atlantic,Atlantic,Low,SHAPE Belgium,1974,1988,14,Deployment,37495,40,28,101,0.269,2819.52,75197.23,13,Joint UN-NATO,Yes,Successful,Active,NATO Secret,High,36.2,Classified
2038,Operation Vigilant Skies 02038,Air Policing,Latvia,LVA,Northern Europe,Western Balkans,Europe,Low,MARCOM,2013,2022,9,Execution,24435,15,0,301,1.232,6534.17,267410.27,6,Yes,Yes,Suspended,On Hold,NATO Restricted,Minimal,29.1,Classified
2039,Operation Pacific Watch 02039,Ballistic Missile Defense,Belgium,BEL,Western Europe,Libya,Africa,High,JFC Naples,2019,2024,5,Completed,5630,187,38,218,3.872,11434.82,2031051.51,3,Joint UN-NATO,No,Transitioned to UN,Suspended,NATO Secret,Low,28.5,Pending
2040,Operation Northern Guard 02040,Maritime Security,United States,USA,North America,Iraq,Middle East,High,JFC Brunssum,1959,1962,3,Deployment,15334,124,35,467,3.046,7861.95,512713.58,19,Yes,No,Suspended,Suspended,NATO Secret,Minimal,67.2,Pending
2041,Operation Arctic Fox 02041,Special Operations,North Macedonia,MKD,Southern Europe,Aegean Sea,Europe,Low,STRIKFORNATO,1953,1966,13,Execution,26087,149,17,573,2.196,3033.94,116300.84,2,Yes,No,Withdrawn,Completed,NATO Secret,Minimal,50.4,Pending
2042,Operation Aurora Borealis 02042,Humanitarian Aid,Romania,ROU,Eastern Europe,Kosovo,Europe,Medium,JFC Naples,1964,1983,19,Completed,21817,162,19,47,0.215,11879.19,544492.37,27,Yes,Yes,Ongoing,Completed,NATO Restricted,Minimal,69.3,N/A
2043,Operation Silver Lance 02043,Maritime Security,Netherlands,NLD,Western Europe,Red Sea,Middle East,Medium,JFC Brunssum,1966,1985,19,Deployment,8686,195,6,260,2.993,3688.12,424605.11,14,Yes,Yes,Inconclusive,Active,NATO Confidential,Low,68.3,Published
2044,Operation Viking 02044,Logistics Support,Bulgaria,BGR,Eastern Europe,Sahel Region,Africa,High,AIRCOM,2001,2013,12,Drawdown,30789,46,25,605,1.965,501.57,16290.56,21,Joint UN-NATO,Yes,Partially Successful,Concluded,NATO Secret,Low,22.0,Classified
2045,Operation Mountain Shield 02045,Intelligence Gathering,Latvia,LVA,Northern Europe,North Atlantic,Atlantic,Low,JFC Brunssum,1957,1977,20,Transition,58460,148,29,1490,2.549,3107.23,53151.39,9,Yes,Yes,Inconclusive,Concluded,Unclassified,Low,73.0,Pending
2046,Operation Steel Horizon 02046,Air Policing,Czech Republic,CZE,Central Europe,Red Sea,Middle East,Medium,STRIKFORNATO,1963,1975,12,Transition,69401,20,42,1860,2.68,512.68,7387.21,21,Joint UN-NATO,Yes,Completed,Transitioned,NATO Restricted,High,65.3,N/A
2047,Operation Northern Guard 02047,Logistics Support,Denmark,DNK,Northern Europe,Mediterranean Sea,Europe,Low,JFC Naples,1993,2012,19,Transition,29365,151,34,1080,3.678,3942.99,134275.16,29,Yes,No,Transitioned to UN,Planned,NATO Secret,Low,66.4,Classified
2048,Operation Dynamic Manta 02048,Amphibious Exercise,North Macedonia,MKD,Southern Europe,Iraq,Middle East,High,JFC Naples,2009,2018,9,Completed,30168,69,4,469,1.555,2284.77,75734.88,8,Joint UN-NATO,Yes,Suspended,On Hold,Unclassified,Low,87.2,N/A
2049,Operation Viking 02049,Intelligence Gathering,France,FRA,Western Europe,Afghanistan,Asia,High,JFC Brunssum,1970,1989,19,Completed,34411,177,48,1317,3.827,6021.8,174996.37,3,Yes,Yes,Withdrawn,Transitioned,NATO Secret,Medium,57.9,Pending
2050,Operation Baltic Eagle 02050,Air Policing,Montenegro,MNE,Southern Europe,Barents Sea,Arctic,Medium,JFC Naples,1973,1985,12,Transition,73166,30,15,1598,2.184,10173.89,139052.16,6,Joint UN-NATO,No,Partially Successful,Planned,Unclassified,Minimal,28.4,N/A
2051,Operation Red Arrow 02051,Combat,Slovakia,SVK,Central Europe,Western Balkans,Europe,Low,ACO Mons,1996,2015,19,Deployment,68120,126,49,1442,2.117,11369.98,166911.04,4,Yes,No,Ongoing,Suspended,Unclassified,Medium,56.3,N/A
2052,Operation Sea Guardian 02052,Amphibious Exercise,North Macedonia,MKD,Southern Europe,Arctic Region,Arctic,Medium,STRIKFORNATO,2002,2013,11,Deployment,8533,173,39,235,2.754,2450.43,287170.98,31,No,Yes,Successful,Planned,NATO Secret,High,61.1,Pending
